,ds,opt,randomseed,cls,resampling,grp,gmean,config,cls_grp,cls_resampler
23,abalone9-18,TPE,90,SVM,RandomUnderSampler,Under Resampling,0.8840752114512377,"{'classifier': {'C': 155.80608628204877, 'coef0': -0.25839870193143577, 'degree': 3, 'gamma': 'scale', 'gamma_value': 3.754660435734395, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 90, 'shrinking': True, 'tol': 0.047735434282750046}, 'sub': {'random_state': 90, 'replacement': True, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",SVM-Under Resampling,SVM-RandomUnderSampler
24,yeast-2_vs_4,TPE,90,RF,AllKNN,Under Resampling,0.9581618070225874,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 3, 'name': 'RF', 'random_state': 90}, 'sub': {'allow_minority': True, 'kind_sel': 'all', 'n_neighbors': 13, 'smo_grp': 'UNDER', 'type': 'AllKNN'}}",RF-Under Resampling,RF-AllKNN
25,yeast-0-5-6-7-9_vs_4,TPE,90,RF,RandomUnderSampler,Under Resampling,0.8160612594523668,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 121, 'name': 'RF', 'random_state': 90}, 'sub': {'random_state': 90, 'replacement': True, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}",RF-Under Resampling,RF-RandomUnderSampler
26,yeast-1-2-8-9_vs_7,TPE,90,KNN,SMOTENC,Over Resampling,0.7352803870906529,"{'classifier': {'algorithm': 'ball_tree', 'n_neighbors': 16, 'name': 'KNN', 'p': 15, 'random_state': 90, 'weights': 'uniform'}, 'sub': {'categorical_features': True, 'k_neighbors': 9, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",KNN-Over Resampling,KNN-SMOTENC
27,glass0,TPE,90,RF,SMOTE,Over Resampling,0.8653689359034837,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 30, 'name': 'RF', 'random_state': 90}, 'sub': {'k_neighbors': 5, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",RF-Over Resampling,RF-SMOTE
28,shuttle-c0-vs-c4,TPE,90,RF,RepeatedEditedNearestNeighbours,Under Resampling,1.0,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 9, 'n_estimators': 135, 'name': 'RF', 'random_state': 90}, 'sub': {'kind_sel': 'mode', 'n_neighbors': 13, 'smo_grp': 'UNDER', 'type': 'RepeatedEditedNearestNeighbours'}}",RF-Under Resampling,RF-RepeatedEditedNearestNeighbours
29,vowel0,TPE,90,KNN,SMOTENC,Over Resampling,0.9513041345780758,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 23, 'name': 'KNN', 'p': 1, 'random_state': 90, 'weights': 'distance'}, 'sub': {'categorical_features': True, 'k_neighbors': 9, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}",KNN-Over Resampling,KNN-SMOTENC
30,vehicle0,TPE,90,SVM,SVMSMOTE,Over Resampling,0.9889648225216952,"{'classifier': {'C': 24.54880492902339, 'coef0': 0.9364816643111318, 'degree': 4, 'gamma': 'auto', 'gamma_value': 1.573034426297078, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 90, 'shrinking': False, 'tol': 0.00019425750097002217}, 'sub': {'k_neighbors': 9, 'm_neighbors': 5, 'out_step': 0.5435568267562326, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",SVM-Over Resampling,SVM-SVMSMOTE
31,yeast6,TPE,90,LR,BorderlineSMOTE,Over Resampling,0.8928981971899308,"{'classifier': {'C': 36.16981826496571, 'l1_ratio': 0.1798964663404972, 'name': 'LR', 'penalty_solver': 'l2+sag', 'random_state': 90, 'tol': 0.030474171345408103}, 'sub': {'k_neighbors': 9, 'kind': 'borderline-2', 'm_neighbors': 7, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}",LR-Over Resampling,LR-BorderlineSMOTE
32,yeast5,TPE,90,LR,SVMSMOTE,Over Resampling,0.980345970985782,"{'classifier': {'C': 42.48470572998375, 'l1_ratio': 0.6956297991769814, 'name': 'LR', 'penalty_solver': 'none+lbfgs', 'random_state': 90, 'tol': 0.07435108079539507}, 'sub': {'k_neighbors': 9, 'm_neighbors': 8, 'out_step': 0.24436681305421262, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",LR-Over Resampling,LR-SVMSMOTE
33,pima,TPE,90,RF,SVMSMOTE,Over Resampling,0.7728998593100396,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 18, 'min_samples_split': 6, 'n_estimators': 80, 'name': 'RF', 'random_state': 90}, 'sub': {'k_neighbors': 9, 'm_neighbors': 8, 'out_step': 0.7127887308616409, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",RF-Over Resampling,RF-SVMSMOTE
34,wisconsin,TPE,90,RF,TomekLinks,Under Resampling,0.9811102274679642,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 42, 'name': 'RF', 'random_state': 90}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}",RF-Under Resampling,RF-TomekLinks
